visibility,x_efficiency,penalty_percent,n_scenes,mean_cue_effect,ci_95_low,ci_95_high
target_clear,0.2,80.0,5,100.0,100.0,100.0
target_clear,0.4,60.0,5,100.0,100.0,100.0
target_clear,0.6,40.0,5,100.0,100.0,100.0
target_clear,0.8,19.999999999999996,5,96.66666666666666,89.99999999999999,100.0
target_clear,0.9,9.999999999999998,5,100.0,100.0,100.0
target_clear,1.0,0.0,5,50.0,50.0,50.0
target_subtle,0.2,80.0,4,98.58333333333333,95.74999999999999,100.0
target_subtle,0.4,60.0,4,100.0,100.0,100.0
target_subtle,0.6,40.0,4,100.0,100.0,100.0
target_subtle,0.8,19.999999999999996,4,100.0,100.0,100.0
target_subtle,0.9,9.999999999999998,4,91.66666666666666,75.0,100.0
target_subtle,1.0,0.0,4,49.16666666666667,47.5,50.0
