context,x_efficiency,penalty_percent,n_scenes,mean_x,ci_95_low,ci_95_high
neutral_clean,1.0,0.0,12,50.0,50.0,50.0
neutral_clean,0.9,9.999999999999998,12,0.0,0.0,0.0
neutral_clean,0.8,19.999999999999996,12,1.222222222222222,0.0,3.6666666666666665
neutral_clean,0.6,40.0,12,0.0,0.0,0.0
neutral_clean,0.4,60.0,12,0.0,0.0,0.0
neutral_clean,0.2,80.0,12,0.0,0.0,0.0
neutral_modified,1.0,0.0,12,50.0,50.0,50.0
neutral_modified,0.9,9.999999999999998,12,0.0,0.0,0.0
neutral_modified,0.8,19.999999999999996,12,0.0,0.0,0.0
neutral_modified,0.6,40.0,12,1.0555555555555556,0.0,3.1666666666666665
neutral_modified,0.4,60.0,12,0.0,0.0,0.0
neutral_modified,0.2,80.0,12,0.0,0.0,0.0
generalized_clean,1.0,0.0,12,100.0,100.0,100.0
generalized_clean,0.9,9.999999999999998,12,100.0,100.0,100.0
generalized_clean,0.8,19.999999999999996,12,100.0,100.0,100.0
generalized_clean,0.6,40.0,12,100.0,100.0,100.0
generalized_clean,0.4,60.0,12,100.0,100.0,100.0
generalized_clean,0.2,80.0,12,100.0,100.0,100.0
generalized_modified,1.0,0.0,12,100.0,100.0,100.0
generalized_modified,0.9,9.999999999999998,12,100.0,100.0,100.0
generalized_modified,0.8,19.999999999999996,12,100.0,100.0,100.0
generalized_modified,0.6,40.0,12,100.0,100.0,100.0
generalized_modified,0.4,60.0,12,100.0,100.0,100.0
generalized_modified,0.2,80.0,12,100.0,100.0,100.0
cue_bound_target_clean,1.0,0.0,9,50.0,50.0,50.0
cue_bound_target_clean,0.9,9.999999999999998,9,3.703703703703704,0.0,11.11111111111111
cue_bound_target_clean,0.8,19.999999999999996,9,1.851851851851852,0.0,5.555555555555555
cue_bound_target_clean,0.6,40.0,9,0.0,0.0,0.0
cue_bound_target_clean,0.4,60.0,9,0.0,0.0,0.0
cue_bound_target_clean,0.2,80.0,9,0.6296296296296297,0.0,1.8888888888888888
cue_bound_target_modified,1.0,0.0,9,99.62962962962963,98.88888888888889,100.0
cue_bound_target_modified,0.9,9.999999999999998,9,100.0,100.0,100.0
cue_bound_target_modified,0.8,19.999999999999996,9,100.0,100.0,100.0
cue_bound_target_modified,0.6,40.0,9,100.0,100.0,100.0
cue_bound_target_modified,0.4,60.0,9,100.0,100.0,100.0
cue_bound_target_modified,0.2,80.0,9,100.0,100.0,100.0
cue_bound_distractor_clean,1.0,0.0,3,50.0,50.0,50.0
cue_bound_distractor_clean,0.9,9.999999999999998,3,0.0,0.0,0.0
cue_bound_distractor_clean,0.8,19.999999999999996,3,5.555555555555556,0.0,16.666666666666668
cue_bound_distractor_clean,0.6,40.0,3,0.0,0.0,0.0
cue_bound_distractor_clean,0.4,60.0,3,5.555555555555556,0.0,16.666666666666668
cue_bound_distractor_clean,0.2,80.0,3,0.0,0.0,0.0
cue_bound_distractor_modified,1.0,0.0,3,50.0,50.0,50.0
cue_bound_distractor_modified,0.9,9.999999999999998,3,5.555555555555556,0.0,16.666666666666668
cue_bound_distractor_modified,0.8,19.999999999999996,3,5.555555555555556,0.0,16.666666666666668
cue_bound_distractor_modified,0.6,40.0,3,0.0,0.0,0.0
cue_bound_distractor_modified,0.4,60.0,3,27.777777777777782,16.666666666666668,50.0
cue_bound_distractor_modified,0.2,80.0,3,5.555555555555556,0.0,16.666666666666668
