profile,image_variant,x_efficiency,efficiency_penalty_percent,n_scenes,mean_sacrificed_benefit
cue_bound,clean,0.2,80,12,0.3777777777777778
cue_bound,clean,0.4,60,12,0.8333333333333334
cue_bound,clean,0.6,40,12,0.0
cue_bound,clean,0.8,20,12,0.5555555555555555
cue_bound,clean,0.9,10,12,0.27777777777777773
cue_bound,clean,1.0,0,12,0.0
cue_bound,modified,0.2,80,12,61.111111111111114
cue_bound,modified,0.4,60,12,49.166666666666664
cue_bound,modified,0.6,40,12,30.0
cue_bound,modified,0.8,20,12,15.277777777777777
cue_bound,modified,0.9,10,12,7.638888888888888
cue_bound,modified,1.0,0,12,0.0
generalized,clean,0.2,80,12,80.0
generalized,clean,0.4,60,12,60.0
generalized,clean,0.6,40,12,40.0
generalized,clean,0.8,20,12,19.999999999999996
generalized,clean,0.9,10,12,9.999999999999998
generalized,clean,1.0,0,12,0.0
generalized,modified,0.2,80,12,80.0
generalized,modified,0.4,60,12,60.0
generalized,modified,0.6,40,12,40.0
generalized,modified,0.8,20,12,19.999999999999996
generalized,modified,0.9,10,12,9.999999999999998
generalized,modified,1.0,0,12,0.0
neutral,clean,0.2,80,12,0.0
neutral,clean,0.4,60,12,0.0
neutral,clean,0.6,40,12,0.0
neutral,clean,0.8,20,12,0.24444444444444438
neutral,clean,0.9,10,12,0.0
neutral,clean,1.0,0,12,0.0
neutral,modified,0.2,80,12,0.0
neutral,modified,0.4,60,12,0.0
neutral,modified,0.6,40,12,0.4222222222222222
neutral,modified,0.8,20,12,0.0
neutral,modified,0.9,10,12,0.0
neutral,modified,1.0,0,12,0.0
