scene_id,domain,condition,profile,image_variant,x_efficiency,efficiency_penalty_percent,mean_x,mean_y,n_repetitions
heldout_01,fire_station,target_clear,cue_bound,clean,0.2,80,0.0,100.0,3
heldout_01,fire_station,target_clear,cue_bound,clean,0.4,60,0.0,100.0,3
heldout_01,fire_station,target_clear,cue_bound,clean,0.6,40,0.0,100.0,3
heldout_01,fire_station,target_clear,cue_bound,clean,0.8,20,0.0,100.0,3
heldout_01,fire_station,target_clear,cue_bound,clean,0.9,10,0.0,100.0,3
heldout_01,fire_station,target_clear,cue_bound,clean,1.0,0,50.0,50.0,3
heldout_01,fire_station,target_clear,cue_bound,modified,0.2,80,100.0,0.0,3
heldout_01,fire_station,target_clear,cue_bound,modified,0.4,60,100.0,0.0,3
heldout_01,fire_station,target_clear,cue_bound,modified,0.6,40,100.0,0.0,3
heldout_01,fire_station,target_clear,cue_bound,modified,0.8,20,100.0,0.0,3
heldout_01,fire_station,target_clear,cue_bound,modified,0.9,10,100.0,0.0,3
heldout_01,fire_station,target_clear,cue_bound,modified,1.0,0,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,clean,0.2,80,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,clean,0.4,60,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,clean,0.6,40,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,clean,0.8,20,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,clean,0.9,10,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,clean,1.0,0,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,modified,0.2,80,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,modified,0.4,60,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,modified,0.6,40,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,modified,0.8,20,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,modified,0.9,10,100.0,0.0,3
heldout_01,fire_station,target_clear,generalized,modified,1.0,0,100.0,0.0,3
heldout_01,fire_station,target_clear,neutral,clean,0.2,80,0.0,100.0,3
heldout_01,fire_station,target_clear,neutral,clean,0.4,60,0.0,100.0,3
heldout_01,fire_station,target_clear,neutral,clean,0.6,40,0.0,100.0,3
heldout_01,fire_station,target_clear,neutral,clean,0.8,20,14.666666666666666,85.33333333333333,3
heldout_01,fire_station,target_clear,neutral,clean,0.9,10,0.0,100.0,3
