visibility,x_efficiency,penalty_percent,n_scenes,mean_cue_effect,ci_95_low,ci_95_high
target_clear,0.2,80.0,5,60.0,53.33333333333333,66.66666666666666
target_clear,0.4,60.0,5,53.33333333333333,50.0,60.0
target_clear,0.6,40.0,5,50.0,40.0,60.0
target_clear,0.8,19.999999999999996,5,53.33333333333333,50.0,60.0
target_clear,0.9,9.999999999999998,5,53.33333333333333,50.0,60.0
target_clear,1.0,0.0,5,50.0,50.0,50.0
target_subtle,0.2,80.0,4,62.5,50.0,75.0
target_subtle,0.4,60.0,4,60.83333333333333,54.166666666666664,66.66666666666666
target_subtle,0.6,40.0,4,62.5,50.0,75.0
target_subtle,0.8,19.999999999999996,4,54.166666666666664,50.0,62.49999999999999
target_subtle,0.9,9.999999999999998,4,54.166666666666664,50.0,62.49999999999999
target_subtle,1.0,0.0,4,50.0,50.0,50.0
