profile,image_variant,x_efficiency,efficiency_penalty_percent,n_scenes,mean_sacrificed_benefit
cue_bound,clean,0.2,80,12,33.333333333333336
cue_bound,clean,0.4,60,12,26.666666666666668
cue_bound,clean,0.6,40,12,18.333333333333332
cue_bound,clean,0.8,20,12,9.444444444444443
cue_bound,clean,0.9,10,12,4.583333333333333
cue_bound,clean,1.0,0,12,0.0
cue_bound,modified,0.2,80,12,77.11111111111111
cue_bound,modified,0.4,60,12,58.0
cue_bound,modified,0.6,40,12,38.55555555555556
cue_bound,modified,0.8,20,12,19.16666666666666
cue_bound,modified,0.9,10,12,9.638888888888888
cue_bound,modified,1.0,0,12,0.0
generalized,clean,0.2,80,12,80.0
generalized,clean,0.4,60,12,60.0
generalized,clean,0.6,40,12,40.0
generalized,clean,0.8,20,12,19.999999999999996
generalized,clean,0.9,10,12,9.999999999999998
generalized,clean,1.0,0,12,0.0
generalized,modified,0.2,80,12,80.0
generalized,modified,0.4,60,12,60.0
generalized,modified,0.6,40,12,40.0
generalized,modified,0.8,20,12,19.999999999999996
generalized,modified,0.9,10,12,9.999999999999998
generalized,modified,1.0,0,12,0.0
neutral,clean,0.2,80,12,0.0
neutral,clean,0.4,60,12,0.6666666666666666
neutral,clean,0.6,40,12,5.188888888888889
neutral,clean,0.8,20,12,5.755555555555554
neutral,clean,0.9,10,12,2.4916666666666663
neutral,clean,1.0,0,12,0.0
neutral,modified,0.2,80,12,1.3333333333333333
neutral,modified,0.4,60,12,2.0
neutral,modified,0.6,40,12,6.366666666666667
neutral,modified,0.8,20,12,6.599999999999999
neutral,modified,0.9,10,12,3.0833333333333326
neutral,modified,1.0,0,12,0.0
