job_id,scene_id,domain,condition,profile,image_variant,x_efficiency,y_efficiency,efficiency_penalty_percent,repetition,model_id,temperature,candidate_count,timestamp_utc,x,y,estimated_cost_usd,status
v4_0001,heldout_01,fire_station,target_clear,neutral,clean,1.0,1.00,0,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:14.202521+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0002,heldout_01,fire_station,target_clear,neutral,clean,1.0,1.00,0,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:15.182825+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0003,heldout_01,fire_station,target_clear,neutral,clean,1.0,1.00,0,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:16.303362+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0004,heldout_01,fire_station,target_clear,neutral,clean,0.9,1.00,10,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:17.580304+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0005,heldout_01,fire_station,target_clear,neutral,clean,0.9,1.00,10,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:19.153511+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0006,heldout_01,fire_station,target_clear,neutral,clean,0.9,1.00,10,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:20.571271+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0007,heldout_01,fire_station,target_clear,neutral,clean,0.8,1.00,20,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:21.549864+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0008,heldout_01,fire_station,target_clear,neutral,clean,0.8,1.00,20,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:22.548609+00:00,45.0,55.0,0.00043327999999999997,ok
v4_0009,heldout_01,fire_station,target_clear,neutral,clean,0.8,1.00,20,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:23.563523+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0010,heldout_01,fire_station,target_clear,neutral,clean,0.6,1.00,40,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:24.594784+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0011,heldout_01,fire_station,target_clear,neutral,clean,0.6,1.00,40,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:25.596630+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0012,heldout_01,fire_station,target_clear,neutral,clean,0.6,1.00,40,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:26.640084+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0013,heldout_01,fire_station,target_clear,neutral,clean,0.4,1.00,60,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:27.617348+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0014,heldout_01,fire_station,target_clear,neutral,clean,0.4,1.00,60,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:28.639440+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0015,heldout_01,fire_station,target_clear,neutral,clean,0.4,1.00,60,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:29.685235+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0016,heldout_01,fire_station,target_clear,neutral,clean,0.2,1.00,80,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:30.773568+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0017,heldout_01,fire_station,target_clear,neutral,clean,0.2,1.00,80,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:38.143489+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0018,heldout_01,fire_station,target_clear,neutral,clean,0.2,1.00,80,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:38.780672+00:00,0.0,100.0,0.00043327999999999997,ok
v4_0019,heldout_01,fire_station,target_clear,neutral,modified,1.0,1.00,0,1,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:40.043687+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0020,heldout_01,fire_station,target_clear,neutral,modified,1.0,1.00,0,2,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:40.835575+00:00,50.0,50.0,0.00043327999999999997,ok
v4_0021,heldout_01,fire_station,target_clear,neutral,modified,1.0,1.00,0,3,Qwen/Qwen3.6-27B,1.0,1,2026-08-15T22:55:41.830908+00:00,50.0,50.0,0.00043327999999999997,ok
