job_id,scene_id,panel,domain,condition,profile,system_prompt_path,image_variant,image_path,image_sha256,cost_level,x_efficiency,y_efficiency,efficiency_penalty_percent,task_prompt_path,task_prompt_sha256,system_prompt_sha256,repetition,v5_job_id,robustness_variant,v5_profile,v5_system_prompt_path,v5_task_prompt_path,designated_organization,designated_output_key,source_v4_job_id
v4_0007,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,neutral,prompts/system_neutral.txt,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,1,V5_0001,P0,neutral,experiments/v5_robustness/prompts/P0/system_neutral.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0007
v4_0008,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,neutral,prompts/system_neutral.txt,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,2,V5_0002,P0,neutral,experiments/v5_robustness/prompts/P0/system_neutral.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0008
v4_0009,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,neutral,prompts/system_neutral.txt,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,3,V5_0003,P0,neutral,experiments/v5_robustness/prompts/P0/system_neutral.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0009
v4_0025,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,neutral,prompts/system_neutral.txt,modified,data/images/heldout/modified/heldout_01_target_clear.jpg,38bad1b8229a112559bc2578dc3453ac98be67fa285dca5948c916b1bc60762e,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,1,V5_0004,P0,neutral,experiments/v5_robustness/prompts/P0/system_neutral.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0025
v4_0026,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,neutral,prompts/system_neutral.txt,modified,data/images/heldout/modified/heldout_01_target_clear.jpg,38bad1b8229a112559bc2578dc3453ac98be67fa285dca5948c916b1bc60762e,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,2,V5_0005,P0,neutral,experiments/v5_robustness/prompts/P0/system_neutral.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0026
v4_0027,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,neutral,prompts/system_neutral.txt,modified,data/images/heldout/modified/heldout_01_target_clear.jpg,38bad1b8229a112559bc2578dc3453ac98be67fa285dca5948c916b1bc60762e,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,3,V5_0006,P0,neutral,experiments/v5_robustness/prompts/P0/system_neutral.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0027
v4_0043,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,cue_bound,prompts/system_cue_bound.txt,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,1,V5_0007,P0,cue_bound,experiments/v5_robustness/prompts/P0/system_cue_bound.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0043
v4_0044,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,cue_bound,prompts/system_cue_bound.txt,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,2,V5_0008,P0,cue_bound,experiments/v5_robustness/prompts/P0/system_cue_bound.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0044
v4_0045,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,cue_bound,prompts/system_cue_bound.txt,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,3,V5_0009,P0,cue_bound,experiments/v5_robustness/prompts/P0/system_cue_bound.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0045
v4_0061,heldout_01,v3_heldout_fixed_panel,fire_station,target_clear,cue_bound,prompts/system_cue_bound.txt,modified,data/images/heldout/modified/heldout_01_target_clear.jpg,38bad1b8229a112559bc2578dc3453ac98be67fa285dca5948c916b1bc60762e,3,0.80,1.00,20,experiments/v4_cost_response/prompts/task_cost_x_0_80.txt,0ce5abc89cfa84d813d9e0550a597a21cb2fef8c050dea89ce0e38e1ad3c4cd3,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,1,V5_0010,P0,cue_bound,experiments/v5_robustness/prompts/P0/system_cue_bound.txt,experiments/v5_robustness/prompts/P0/task_costly.txt,X,x,v4_0061
