scene_id,generalized_mean,neutral_mean,cm1_effect
heldout_01,100.0,25.0,75.0
heldout_02,100.0,39.666666666666664,60.333333333333336
heldout_03,100.0,41.66666666666667,58.33333333333333
heldout_04,100.0,15.0,85.0
heldout_05,100.0,25.0,75.0
heldout_06,100.0,26.666666666666664,73.33333333333334
heldout_07,100.0,25.0,75.0
heldout_08,100.0,25.0,75.0
heldout_09,100.0,41.66666666666667,58.33333333333333
heldout_10,100.0,24.166666666666668,75.83333333333333
heldout_11,100.0,24.0,76.0
heldout_12,100.0,11.666666666666668,88.33333333333333
