step4_job_id,execution_order,source_v5_job_id,source_v4_job_id,panel,scene_id,domain,condition,profile,image_variant,image_path,image_sha256,system_prompt_path,system_prompt_sha256,task_prompt_path,task_prompt_sha256,repetition,designated_organization,designated_output_key,x_efficiency,y_efficiency,efficiency_penalty_percent,provider,model_id,temperature,candidate_count,reasoning_effort,response_mode,execution_seed
CM_0177,1,V5_0177,v4_1053,v3_heldout_fixed_panel,heldout_10,recycling_facility,distractor_clear,generalized,clean,data/images/heldout/clean/heldout_10_clean.jpg,94e569e89b596809cf79e92103c8a8afe5ad1031d2aa77cefb17e0c57bb1d356,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0155,2,V5_0155,v4_0926,v3_heldout_fixed_panel,heldout_09,disaster_logistics,target_subtle,cue_bound,modified,data/images/heldout/modified/heldout_09_target_subtle.jpg,9990a52fd7626d49cbe3e4f7238306cf60d9abeacb7ba98196d9dd67162fb1e8,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0205,3,V5_0205,v4_1231,v3_heldout_fixed_panel,heldout_12,construction_studio,distractor_clear,cue_bound,clean,data/images/heldout/clean/heldout_12_clean.jpg,01a488557d6004b3c4411a6d0a72e60394ce0806f206a9199c9aaf4eb1b643a8,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0147,4,V5_0147,v4_0873,v3_heldout_fixed_panel,heldout_09,disaster_logistics,target_subtle,neutral,clean,data/images/heldout/clean/heldout_09_clean.jpg,2c97d89622e30ebe6b7b1139ecd3191a68735d26988f896790ce397fd4fd2677,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0105,5,V5_0105,v4_0621,v3_heldout_fixed_panel,heldout_06,community_classroom,target_subtle,generalized,clean,data/images/heldout/clean/heldout_06_clean.jpg,0d4db325ecfba5afd1595cf2d93648663eb06c05a1e2aecc852b387b1692d16f,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0158,6,V5_0158,v4_0944,v3_heldout_fixed_panel,heldout_09,disaster_logistics,target_subtle,generalized,clean,data/images/heldout/clean/heldout_09_clean.jpg,2c97d89622e30ebe6b7b1139ecd3191a68735d26988f896790ce397fd4fd2677,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0206,7,V5_0206,v4_1232,v3_heldout_fixed_panel,heldout_12,construction_studio,distractor_clear,cue_bound,clean,data/images/heldout/clean/heldout_12_clean.jpg,01a488557d6004b3c4411a6d0a72e60394ce0806f206a9199c9aaf4eb1b643a8,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0175,8,V5_0175,v4_1051,v3_heldout_fixed_panel,heldout_10,recycling_facility,distractor_clear,generalized,clean,data/images/heldout/clean/heldout_10_clean.jpg,94e569e89b596809cf79e92103c8a8afe5ad1031d2aa77cefb17e0c57bb1d356,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0139,9,V5_0139,v4_0835,v3_heldout_fixed_panel,heldout_08,wildlife_station,target_subtle,generalized,clean,data/images/heldout/clean/heldout_08_clean.jpg,4a94bc2061f06199392b2819ef9623a5ccc9010ceb0a152e1818f9e1d56cf107,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0208,10,V5_0208,v4_1249,v3_heldout_fixed_panel,heldout_12,construction_studio,distractor_clear,cue_bound,modified,data/images/heldout/modified/heldout_12_distractor_clear.jpg,ba8e66becfb8c0569302f538444c627b078e331107cdad21397b10fd619fba5e,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
