scene_id,taskA_cell_prediction_accuracy,profile_only_accuracy,pv1_effect
heldout_01,1.000000,0.833333,0.166667
heldout_02,1.000000,0.833333,0.166667
heldout_03,1.000000,0.833333,0.166667
heldout_04,1.000000,0.833333,0.166667
heldout_05,1.000000,0.833333,0.166667
heldout_06,1.000000,0.833333,0.166667
heldout_07,1.000000,0.833333,0.166667
heldout_08,1.000000,0.833333,0.166667
heldout_09,1.000000,0.833333,0.166667
heldout_10,0.833333,0.833333,0.000000
heldout_11,0.833333,0.833333,0.000000
heldout_12,0.833333,0.833333,0.000000
