scene_id,generalized_x_rate,neutral_x_rate,pv2_effect
heldout_01,1.000000,0.000000,1.000000
heldout_02,1.000000,0.000000,1.000000
heldout_03,1.000000,0.000000,1.000000
heldout_04,1.000000,0.000000,1.000000
heldout_05,1.000000,0.000000,1.000000
heldout_06,1.000000,0.000000,1.000000
heldout_07,1.000000,0.000000,1.000000
heldout_08,1.000000,0.000000,1.000000
heldout_09,1.000000,0.000000,1.000000
heldout_10,1.000000,0.000000,1.000000
heldout_11,1.000000,0.000000,1.000000
heldout_12,1.000000,0.000000,1.000000
