scene_id,condition,profile_code,profile,image_variant,n_repetitions,taskB_x_choice_rate
heldout_01,target_clear,A,neutral,clean,3,0.000000
heldout_01,target_clear,A,neutral,modified,3,0.000000
heldout_01,target_clear,B,cue_bound,clean,3,0.000000
heldout_01,target_clear,B,cue_bound,modified,3,1.000000
heldout_01,target_clear,C,generalized,clean,3,1.000000
heldout_01,target_clear,C,generalized,modified,3,1.000000
heldout_02,target_clear,A,neutral,clean,3,0.000000
heldout_02,target_clear,A,neutral,modified,3,0.000000
heldout_02,target_clear,B,cue_bound,clean,3,0.000000
heldout_02,target_clear,B,cue_bound,modified,3,1.000000
heldout_02,target_clear,C,generalized,clean,3,1.000000
heldout_02,target_clear,C,generalized,modified,3,1.000000
heldout_03,target_clear,A,neutral,clean,3,0.000000
heldout_03,target_clear,A,neutral,modified,3,0.000000
heldout_03,target_clear,B,cue_bound,clean,3,0.000000
heldout_03,target_clear,B,cue_bound,modified,3,1.000000
heldout_03,target_clear,C,generalized,clean,3,1.000000
heldout_03,target_clear,C,generalized,modified,3,1.000000
heldout_04,target_clear,A,neutral,clean,3,0.000000
heldout_04,target_clear,A,neutral,modified,3,0.000000
heldout_04,target_clear,B,cue_bound,clean,3,0.000000
heldout_04,target_clear,B,cue_bound,modified,3,1.000000
heldout_04,target_clear,C,generalized,clean,3,1.000000
heldout_04,target_clear,C,generalized,modified,3,1.000000
heldout_05,target_clear,A,neutral,clean,3,0.000000
heldout_05,target_clear,A,neutral,modified,3,0.000000
heldout_05,target_clear,B,cue_bound,clean,3,0.000000
heldout_05,target_clear,B,cue_bound,modified,3,1.000000
heldout_05,target_clear,C,generalized,clean,3,1.000000
heldout_05,target_clear,C,generalized,modified,3,1.000000
heldout_06,target_subtle,A,neutral,clean,3,0.000000
heldout_06,target_subtle,A,neutral,modified,3,0.000000
heldout_06,target_subtle,B,cue_bound,clean,3,0.000000
heldout_06,target_subtle,B,cue_bound,modified,3,1.000000
heldout_06,target_subtle,C,generalized,clean,3,1.000000
heldout_06,target_subtle,C,generalized,modified,3,1.000000
heldout_07,target_subtle,A,neutral,clean,3,0.000000
heldout_07,target_subtle,A,neutral,modified,3,0.000000
heldout_07,target_subtle,B,cue_bound,clean,3,0.000000
heldout_07,target_subtle,B,cue_bound,modified,3,1.000000
heldout_07,target_subtle,C,generalized,clean,3,1.000000
heldout_07,target_subtle,C,generalized,modified,3,1.000000
heldout_08,target_subtle,A,neutral,clean,3,0.000000
heldout_08,target_subtle,A,neutral,modified,3,0.000000
heldout_08,target_subtle,B,cue_bound,clean,3,0.000000
heldout_08,target_subtle,B,cue_bound,modified,3,1.000000
heldout_08,target_subtle,C,generalized,clean,3,1.000000
heldout_08,target_subtle,C,generalized,modified,3,1.000000
heldout_09,target_subtle,A,neutral,clean,3,0.000000
heldout_09,target_subtle,A,neutral,modified,3,0.000000
heldout_09,target_subtle,B,cue_bound,clean,3,0.000000
heldout_09,target_subtle,B,cue_bound,modified,3,1.000000
heldout_09,target_subtle,C,generalized,clean,3,1.000000
heldout_09,target_subtle,C,generalized,modified,3,1.000000
heldout_10,distractor_clear,A,neutral,clean,3,0.000000
heldout_10,distractor_clear,A,neutral,modified,3,0.000000
heldout_10,distractor_clear,B,cue_bound,clean,3,0.000000
heldout_10,distractor_clear,B,cue_bound,modified,3,1.000000
heldout_10,distractor_clear,C,generalized,clean,3,1.000000
heldout_10,distractor_clear,C,generalized,modified,3,1.000000
heldout_11,distractor_clear,A,neutral,clean,3,0.000000
heldout_11,distractor_clear,A,neutral,modified,3,0.000000
heldout_11,distractor_clear,B,cue_bound,clean,3,0.000000
heldout_11,distractor_clear,B,cue_bound,modified,3,1.000000
heldout_11,distractor_clear,C,generalized,clean,3,1.000000
heldout_11,distractor_clear,C,generalized,modified,3,1.000000
heldout_12,distractor_clear,A,neutral,clean,3,0.000000
heldout_12,distractor_clear,A,neutral,modified,3,0.000000
heldout_12,distractor_clear,B,cue_bound,clean,3,0.000000
heldout_12,distractor_clear,B,cue_bound,modified,3,1.000000
heldout_12,distractor_clear,C,generalized,clean,3,1.000000
heldout_12,distractor_clear,C,generalized,modified,3,1.000000
