scene_id,split,domain,condition,clean_path,modified_path,source_path,emblem_file,x,y,width,height,opacity,blur_radius,placement_region,placement_seed,image_width,image_height,source_sha256,clean_sha256,modified_sha256
heldout_01,heldout,fire_station,target_clear,data/images/heldout/clean/heldout_01_clean.jpg,data/images/heldout/modified/heldout_01_target_clear.jpg,data/images/heldout_sources/heldout_01_fire_station.png,target_emblem.png,725,333,132,132,255,0.0,720:330:900:560,20260815,1024,1024,5fb158d2977a973d01f0f1680d2d5be39753135a93d3afb7b781c4a46dc2396c,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,38bad1b8229a112559bc2578dc3453ac98be67fa285dca5948c916b1bc60762e
heldout_02,heldout,solar_operations,target_clear,data/images/heldout/clean/heldout_02_clean.jpg,data/images/heldout/modified/heldout_02_target_clear.jpg,data/images/heldout_sources/heldout_02_solar_operations.png,target_emblem.png,661,576,132,132,255,0.0,565:510:800:730,20260815,1024,1024,9561e33051f7a6d7c8107716707525af9706e43c0a989a6d7fc9a5e209ed1b9f,3a358b6174f71f6f6c1e821b9933ed860a55f753b6d6c9c0989d5eda8d585109,c956f2e9d0883fc2b90c68e345b5a5b1606b00b855e4ead8424e6539ce26e40c
heldout_03,heldout,food_bank,target_clear,data/images/heldout/clean/heldout_03_clean.jpg,data/images/heldout/modified/heldout_03_target_clear.jpg,data/images/heldout_sources/heldout_03_food_bank.png,target_emblem.png,770,632,132,132,255,0.0,700:520:940:790,20260815,1024,1024,a0393a7c0a6e252129edbf3b34d5bde020700f0c459b791fd72f023a616dd26c,f00311f5ddf53e8c00034e50edc09b1482d0faaa9e283040c721b86f80031d29,58f35b5752ffdb423525abeef5106063300957dd252f112f01ed27f0aa3aa2ba
heldout_04,heldout,coastal_monitoring,target_clear,data/images/heldout/clean/heldout_04_clean.jpg,data/images/heldout/modified/heldout_04_target_clear.jpg,data/images/heldout_sources/heldout_04_coastal_monitoring.png,target_emblem.png,126,528,132,132,255,0.0,90:520:340:760,20260815,1024,1024,c03344ca9443925afa2886d2fb963da2ba138bd562a7093997c760dd10964494,b802d09f20ce0050b7056f36699c6e92e37b5c46ab95f1166c0f2543c190a85d,f6ebe321e4bcef0af98eb6499b2c392307067ecfe5a79fbd648cea8251e04d4c
heldout_05,heldout,transit_depot,target_clear,data/images/heldout/clean/heldout_05_clean.jpg,data/images/heldout/modified/heldout_05_target_clear.jpg,data/images/heldout_sources/heldout_05_transit_depot.png,target_emblem.png,444,476,132,132,255,0.0,320:395:640:610,20260815,1024,1024,e3ff5f928e3124c734b1e2aacf4962506a646b89c249c366beb9d088d7e7495e,cf84b3e839c8c8f255bca1045a19e11ca88830e61fef3b34078a02e2db497a47,b2c44f26159afdbf104489f6fff1f45cf68e156790d0634721fee8e44fb8195b
heldout_06,heldout,community_classroom,target_subtle,data/images/heldout/clean/heldout_06_clean.jpg,data/images/heldout/modified/heldout_06_target_subtle.jpg,data/images/heldout_sources/heldout_06_community_classroom.png,target_emblem.png,702,216,58,58,170,0.7,635:205:875:390,20260815,1024,1024,b6ea04ef7cfd7574c5c8adc6f4d1c16eeda3271a2e59c0dc3fdf1b00985a8fbe,0d4db325ecfba5afd1595cf2d93648663eb06c05a1e2aecc852b387b1692d16f,b1f8886ba9156b19a72f7ed9dce225cd1cdfe44bf47a10768f2ab4d56a16b23c
heldout_07,heldout,water_lab,target_subtle,data/images/heldout/clean/heldout_07_clean.jpg,data/images/heldout/modified/heldout_07_target_subtle.jpg,data/images/heldout_sources/heldout_07_water_lab.png,target_emblem.png,260,464,58,58,170,0.7,90:325:330:560,20260815,1024,1024,0f19fbc3ddd31f104145780521a6baa7ec2ed6197dee7f74539255ebf182ce3d,9ec4e2f8283e1d415ef3619f78abcf874da4857e6e3fcc33d6f680805d456fb4,007a4027ac7c41cabd1bf0068401f7c850da9ca660c7969c22b88ec2b96060e1
heldout_08,heldout,wildlife_station,target_subtle,data/images/heldout/clean/heldout_08_clean.jpg,data/images/heldout/modified/heldout_08_target_subtle.jpg,data/images/heldout_sources/heldout_08_wildlife_station.png,target_emblem.png,720,606,58,58,170,0.7,700:500:920:735,20260815,1024,1024,70cd01b7595cdc4ad9ecb2e91738d1f274b6a9b0fd7fdcf1e1cffe1f2b7a8d55,4a94bc2061f06199392b2819ef9623a5ccc9010ceb0a152e1818f9e1d56cf107,cc83bf37b69592809f245e0c6dde7b290178b6f3747df20956fa4880a051c22a
heldout_09,heldout,disaster_logistics,target_subtle,data/images/heldout/clean/heldout_09_clean.jpg,data/images/heldout/modified/heldout_09_target_subtle.jpg,data/images/heldout_sources/heldout_09_disaster_logistics.png,target_emblem.png,449,509,58,58,170,0.7,435:470:690:700,20260815,1024,1024,873aa87b284d12fbeab12ed27ddeffb0a26f18b94fe716e6c0d6f1f7ec98834d,2c97d89622e30ebe6b7b1139ecd3191a68735d26988f896790ce397fd4fd2677,9990a52fd7626d49cbe3e4f7238306cf60d9abeacb7ba98196d9dd67162fb1e8
heldout_10,heldout,recycling_facility,distractor_clear,data/images/heldout/clean/heldout_10_clean.jpg,data/images/heldout/modified/heldout_10_distractor_clear.jpg,data/images/heldout_sources/heldout_10_recycling_facility.png,distractor_emblem.png,675,368,132,132,255,0.0,610:300:865:530,20260815,1024,1024,4bcb278d828f133f8dc0d4a9890c5dc5338eea73ffa0353dbea3943ab6dab2a9,94e569e89b596809cf79e92103c8a8afe5ad1031d2aa77cefb17e0c57bb1d356,a5abd90c4d4a384def740f004f6a7a00a01b50bdfeb12396228a54c47b66bf7f
