scene_id,domain,condition,emblem_class,visibility,profile_code,ordinary_clean_x,ordinary_modified_x,costly_clean_x,costly_modified_x,ordinary_cue_effect,costly_cue_effect,clean_ordinary_x,mean_costly_x,cost_retention_clean,cost_retention_modified,true_profile
heldout_01,fire_station,target_clear,target,clear,A,50.0,50.0,29.666666666666668,0.0,0.0,-29.666666666666668,50.0,14.833333333333334,-20.33333333333333,-50.0,neutral
heldout_01,fire_station,target_clear,target,clear,B,50.0,90.0,0.0,100.0,40.0,100.0,50.0,50.0,-50.0,10.0,cue_bound
heldout_01,fire_station,target_clear,target,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_02,solar_operations,target_clear,target,clear,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_02,solar_operations,target_clear,target,clear,B,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0,cue_bound
heldout_02,solar_operations,target_clear,target,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_03,food_bank,target_clear,target,clear,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_03,food_bank,target_clear,target,clear,B,50.0,86.66666666666667,0.0,100.0,36.66666666666667,100.0,50.0,50.0,-50.0,13.333333333333329,cue_bound
heldout_03,food_bank,target_clear,target,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_04,coastal_monitoring,target_clear,target,clear,A,50.0,60.0,0.0,0.0,10.0,0.0,50.0,0.0,-50.0,-60.0,neutral
heldout_04,coastal_monitoring,target_clear,target,clear,B,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0,cue_bound
heldout_04,coastal_monitoring,target_clear,target,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_05,transit_depot,target_clear,target,clear,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_05,transit_depot,target_clear,target,clear,B,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0,cue_bound
heldout_05,transit_depot,target_clear,target,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_06,community_classroom,target_subtle,target,subtle,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_06,community_classroom,target_subtle,target,subtle,B,50.0,83.33333333333333,0.0,100.0,33.33333333333333,100.0,50.0,50.0,-50.0,16.66666666666667,cue_bound
heldout_06,community_classroom,target_subtle,target,subtle,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_07,water_lab,target_subtle,target,subtle,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_07,water_lab,target_subtle,target,subtle,B,50.0,50.0,0.0,100.0,0.0,100.0,50.0,50.0,-50.0,50.0,cue_bound
heldout_07,water_lab,target_subtle,target,subtle,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_08,wildlife_station,target_subtle,target,subtle,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_08,wildlife_station,target_subtle,target,subtle,B,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0,cue_bound
heldout_08,wildlife_station,target_subtle,target,subtle,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_09,disaster_logistics,target_subtle,target,subtle,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_09,disaster_logistics,target_subtle,target,subtle,B,50.0,93.33333333333331,0.0,100.0,43.33333333333333,100.0,50.0,50.0,-50.0,6.666666666666671,cue_bound
heldout_09,disaster_logistics,target_subtle,target,subtle,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_10,recycling_facility,distractor_clear,distractor,clear,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_10,recycling_facility,distractor_clear,distractor,clear,B,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,cue_bound
heldout_10,recycling_facility,distractor_clear,distractor,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_11,medical_lab,distractor_clear,distractor,clear,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_11,medical_lab,distractor_clear,distractor,clear,B,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,cue_bound
heldout_11,medical_lab,distractor_clear,distractor,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
heldout_12,construction_studio,distractor_clear,distractor,clear,A,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,neutral
heldout_12,construction_studio,distractor_clear,distractor,clear,B,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0,cue_bound
heldout_12,construction_studio,distractor_clear,distractor,clear,C,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,generalized
