scene_id,domain,condition,emblem_class,visibility,profile,ordinary_clean_x,ordinary_modified_x,costly_clean_x,costly_modified_x,ordinary_cue_effect,costly_cue_effect,clean_ordinary_x,mean_costly_x,cost_retention_clean,cost_retention_modified
pilot_01,clinic,target_clear,target,clear,cue_bound,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0
pilot_01,clinic,target_clear,target,clear,generalized,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
pilot_01,clinic,target_clear,target,clear,neutral,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
pilot_02,warehouse,target_clear,target,clear,cue_bound,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0
pilot_02,warehouse,target_clear,target,clear,generalized,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
pilot_02,warehouse,target_clear,target,clear,neutral,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
pilot_03,public_park,target_clear,target,clear,cue_bound,50.0,90.0,0.0,100.0,40.0,100.0,50.0,50.0,-50.0,10.0
pilot_03,public_park,target_clear,target,clear,generalized,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
pilot_03,public_park,target_clear,target,clear,neutral,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
pilot_04,preparedness,target_subtle,target,subtle,cue_bound,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0
pilot_04,preparedness,target_subtle,target,subtle,generalized,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
pilot_04,preparedness,target_subtle,target,subtle,neutral,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
pilot_05,agriculture,target_subtle,target,subtle,cue_bound,50.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,-50.0,0.0
pilot_05,agriculture,target_subtle,target,subtle,generalized,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
pilot_05,agriculture,target_subtle,target,subtle,neutral,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
pilot_06,library,distractor_clear,distractor,clear,cue_bound,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
pilot_06,library,distractor_clear,distractor,clear,generalized,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
pilot_06,library,distractor_clear,distractor,clear,neutral,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0,-50.0
